Date,BTC
2018-03-02,11189.00
2018-03-03,11530.00
2018-03-04,11549.00
2018-03-05,11700.00
2018-03-06,11553.00
2018-03-07,10899.00
2018-03-08,10112.00
2018-03-09,9428.00
2018-03-10,9506.40
2018-03-11,9729.00
2018-03-12,9900.00
2018-03-13,9482.40
2018-03-14,9439.60
2018-03-15,8418.00
2018-03-16,8604.50
2018-03-17,8515.90
2018-03-18,8300.00
2018-03-19,8717.00
2018-03-20,9040.00
2018-03-21,9177.50
2018-03-22,9095.92
2018-03-23,8771.99
2018-03-24,9050.30
2018-03-25,8674.40
2018-03-26,8516.90
2018-03-27,8277.80
2018-03-28,8120.20
2018-03-29,7973.00
2018-03-30,7269.00
2018-03-31,7222.00
2018-04-01,7035.10
2018-04-02,7132.00
2018-04-03,7509.70
2018-04-04,7450.00
2018-04-05,6938.00
2018-04-06,6864.00
2018-04-07,7080.00
2018-04-08,7127.00
2018-04-09,7189.00
2018-04-10,6897.40
2018-04-11,7017.40
2018-04-12,8087.00
2018-04-13,8240.00
2018-04-14,8185.00
2018-04-15,8458.80
2018-04-16,8415.50
2018-04-17,8185.00
2018-04-18,8237.20
2018-04-19,8297.40
2018-04-20,8909.20
2018-04-21,9069.00
2018-04-22,9048.20
2018-04-23,9011.00
2018-04-24,9599.00
2018-04-25,9767.40
2018-04-26,9178.00
2018-04-27,9381.10
2018-04-28,9500.00
2018-04-29,9565.10
2018-04-30,9450.00
2018-05-01,9254.30
2018-05-02,9268.73
2018-05-03,9779.00
2018-05-04,9875.00
2018-05-05,9990.00
2018-05-06,9964.00
2018-05-07,9677.90
2018-05-08,9471.00
2018-05-09,9375.80
2018-05-10,9393.90
2018-05-11,9104.40
2018-05-12,8631.70
2018-05-13,8760.00
2018-05-14,8884.50
2018-05-15,8855.70
2018-05-16,8498.40
2018-05-17,8482.20
2018-05-18,8277.20
2018-05-19,8468.00
2018-05-20,8597.90
2018-05-21,8644.00
2018-05-22,8421.00
2018-05-23,8027.66
2018-05-24,7729.83
2018-05-25,7654.10
2018-05-26,7624.10
2018-05-27,7425.40
2018-05-28,7437.70
2018-05-29,7536.00
2018-05-30,7560.00
2018-05-31,7599.70
2018-06-01,7599.80
2018-06-02,7698.80
2018-06-03,7779.00
2018-06-04,7764.00
2018-06-05,7675.00
2018-06-06,7700.00
2018-06-07,7756.30
2018-06-08,7697.00
2018-06-09,7685.00
2018-06-10,7614.80
2018-06-11,6821.10
2018-06-12,6899.00
2018-06-13,6611.70
2018-06-14,6736.52
2018-06-15,6709.14
2018-06-16,6559.70
2018-06-17,6573.00
2018-06-18,6849.70
2018-06-19,6848.20
2018-06-20,6825.00
2018-06-21,6788.80
2018-06-22,6731.00
2018-06-23,6259.00
2018-06-24,6249.70
2018-06-25,6341.00
2018-06-26,6280.80
2018-06-27,6173.50
2018-06-28,6192.70
2018-06-29,6302.00
2018-06-30,6545.50
2018-07-01,6439.90
2018-07-02,6681.20
2018-07-03,6675.20
2018-07-04,6784.90
2018-07-05,6704.70
2018-07-06,6641.78
2018-07-07,6623.90
2018-07-08,6839.40
2018-07-09,6820.00
2018-07-10,6703.40
2018-07-11,6407.90
2018-07-12,6378.50
2018-07-13,6339.90
2018-07-14,6320.00
2018-07-15,6389.00
2018-07-16,6711.00
2018-07-17,7483.90
2018-07-18,7588.00
2018-07-19,7560.00
2018-07-20,7685.20
2018-07-21,7459.00
2018-07-22,7575.00
2018-07-23,7820.00
2018-07-24,8363.00
2018-07-25,8506.70
2018-07-26,8323.10
2018-07-27,8291.00
2018-07-28,8267.10
2018-07-29,8313.30
2018-07-30,8301.73
2018-07-31,8194.90
2018-08-01,7799.80
2018-08-02,7713.00
2018-08-03,7571.81
2018-08-04,7492.20
2018-08-05,7090.00
2018-08-06,7153.60
2018-08-07,7150.00
2018-08-08,6750.50
2018-08-09,6623.80
2018-08-10,6595.00
2018-08-11,6499.50
2018-08-13,6548.30
2018-08-14,6285.00
2018-08-15,6647.60
2018-08-16,6476.70
2018-08-17,6592.90
2018-08-18,6619.50
2018-08-19,6550.30
2018-08-20,6526.10
2018-08-21,6526.20
2018-08-22,6899.00
2018-08-23,6566.64
2018-08-24,6716.60
2018-08-25,6799.70
2018-08-26,6789.00
2018-08-27,6785.00
2018-08-28,7127.90
2018-08-29,7139.40
2018-08-30,7061.90
2018-08-31,7100.00
2018-09-01,7269.90
2018-09-02,7429.20
2018-09-03,7369.00
2018-09-04,7415.40
2018-09-05,7404.00
2018-09-06,6932.90
2018-09-07,6549.50
2018-09-08,6475.50
2018-09-09,6458.90
2018-09-10,6373.68
2018-09-11,6399.60
2018-09-12,6355.00
2018-09-13,6528.40
2018-09-14,6596.50
2018-09-15,6572.20
2018-09-16,6529.00
2018-09-17,6543.30
2018-09-18,6384.00
2018-09-19,6549.90
2018-09-20,6584.00
2018-09-21,6790.50
2018-09-22,6840.90
2018-09-23,6785.90
2018-09-24,6723.90
2018-09-25,6602.10
2018-09-26,6558.00
2018-09-27,6745.00
2018-09-28,6826.42
2018-09-30,6662.80
2018-10-01,6660.00
2018-10-02,6644.70
2018-10-03,6573.00
2018-10-04,6648.80
2018-10-05,6741.44
2018-10-06,6648.20
2018-10-07,6605.80
2018-10-08,6730.00
2018-10-09,6688.10
2018-10-10,6670.00
2018-10-11,6630.40
2018-10-12,6353.40
2018-10-13,6333.70
2018-10-14,6399.30
2018-10-15,7788.00
2018-10-16,6897.60
2018-10-17,6794.00
2018-10-18,6779.90
2018-10-20,6611.00
2018-10-21,6660.80
2018-10-22,6627.90
2018-10-24,6626.30
2018-10-25,6568.70
2018-10-26,6597.40
2018-10-27,6560.00
2018-10-29,6512.00
2018-10-30,6383.60
2018-10-31,6419.80
2018-11-01,6443.90
2018-11-02,6456.10
2018-11-03,6432.40
2018-11-04,6529.40
2018-11-05,6500.60
2018-11-06,6519.00
2018-11-07,6615.00
2018-11-08,6585.00
2018-11-09,6504.40
2018-11-10,6469.30
2018-11-11,6454.50
2018-11-12,6481.00
2018-11-14,6485.80
2018-11-15,5940.00
2018-11-16,5777.50
2018-11-17,5661.10
2018-11-18,5745.60
2018-11-19,5659.50
2018-11-20,5056.27
2018-11-21,4787.30
2018-11-22,4723.70
2018-11-23,4495.00
2018-11-24,4529.00
2018-11-25,4233.20
2018-11-27,3959.41
2018-11-28,4447.60
2018-11-29,4488.00
2018-11-30,4368.80
2018-12-01,4340.00
2018-12-02,4369.80
2018-12-03,4189.80
2018-12-04,4135.90
2018-12-05,4000.77
2018-12-06,3922.70
2018-12-07,3630.00
2018-12-08,3800.10
2018-12-09,3789.00
2018-12-10,3709.70
2018-12-11,3551.50
2018-12-12,3617.40
2018-12-13,3547.10
2018-12-14,3395.20
2018-12-15,3324.20
2018-12-16,3383.00
2018-12-17,3744.80
2018-12-18,3799.90
2018-12-19,4043.00
2018-12-20,4299.00
2018-12-21,4300.00
2018-12-22,4166.00
2018-12-23,4216.00
2018-12-24,4384.00
2018-12-25,4155.00
2018-12-26,3990.00
2018-12-27,3968.80
2018-12-28,4095.00
2018-12-29,4099.70
2018-12-30,4003.80
2018-12-31,3986.90
2019-01-01,3987.00
2019-01-02,4083.47
2019-01-04,3986.00
2019-01-05,4014.90
2019-01-06,4218.00
2019-01-07,4197.00
2019-01-09,4168.90
2019-01-11,3777.80
2019-01-12,3734.00
2019-01-13,3729.00
2019-01-14,3799.40
2019-01-15,3780.87
2019-01-16,3759.89
2019-01-17,3725.00
2019-01-18,3723.90
2019-01-19,3882.00
2019-01-20,3796.90
2019-01-21,3620.10
2019-01-22,3682.14
2019-01-23,3677.00
2019-01-24,3671.40
2019-01-25,3663.50
2019-01-26,3750.00
2019-01-27,3645.70
2019-01-28,3597.90
2019-01-29,3517.50
2019-01-30,3550.00
